864,Территориальное управление Федеральной службы по аккредитации Южный, Северо-Кавказский федеральные округа,-1,-1,49691,4,-1,-1,43908,4,27859,12,38646,8,36672,11,38723,10,44374,11,14,59,33,9.0
865,Территориальное управление Федеральной службы по аккредитации Уральский федеральный округ,-1,-1,-1,-1,96164,1,43889,6,35048,7,49748,14,42854,12,108551,1,-1,-1,14,-2,30,4.79
867,Управление ФАС Липецкая область,20754,16,23240,19,25000,26,25000,23,-1,-1,25919,21,25000,25,33333,15,33333,19,68,60,79,1.83
868,Управление Роспотребнадзора Липецкая область,22654,170,23545,192,25441,153,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,54002,7,68,138,-41,0.46
869,Правительство Тульской области,38518,674,50148,1142,52204,1163,54681,898,56457,787,56338,966,98806,217,107646,248,115178,225,68,199,82,1.2
871,Управление Роспотребнадзора Новгородская область,22208,102,23078,103,38103,7,31579,7,40274,7,53119,8,65832,8,-1,-1,82680,11,68,272,93,0.55
872,Управление ФАС Воронежская область,18524,33,19038,30,23416,30,25000,31,25000,29,25685,27,31712,28,36722,23,33333,27,68,79,62,1.23
875,Территориальное управление Росимущества Липецкая область (присоединено к МТУ Росимущества в Тамбовской и Липецкой областях),14136,24,15919,20,21184,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,49,41,1.22
876,Территориальное управление Росимущества Воронежская область,15217,52,14851,56,14839,45,18024,83,21907,44,24536,39,25874,48,26961,39,30257,46,68,98,96,1.99
878,Управление Федеральной службы государственной регистрации, кадастра и картографии Липецкая область,29093,53,31601,53,38619,17,55927,15,107427,3,108541,4,100722,4,112849,4,111761,4,32,92,20,0.73
880,Управление Россельхознадзора Липецкая область,-1,-1,-1,-1,41597,3,24040,53,27290,48,29722,45,26508,54,-1,-1,-1,-1,14,10,10,1.5
883,Управление Федеральной службы судебных приставов Липецкая область,19920,450,20138,524,20028,509,135505,4,88882,4,92147,4,104827,4,121172,4,118803,4,23,0,3,0.45
886,Межрегиональное управление Федеральной службы по регулированию алкогольного рынка по Центральному федеральному округу,43067,126,42050,122,98216,3,129273,1,151484,1,72195,13,100813,13,78476,13,92257,17,68,114,28,3.26
887,Межрегиональное управление Федеральной службы по регулированию алкогольного рынка по Северо-Западному федеральному округу,43670,64,39626,67,122406,2,112898,3,88167,4,65390,10,65040,9,64202,15,65325,15,68,49,2,1.29
888,Межрегиональное управление Федеральной службы по регулированию алкогольного рынка по Южному федеральному округу,50757,62,31900,73,111132,3,108806,5,96084,4,41259,12,45465,12,53248,16,55369,15,68,9,-35,1.09
889,Межрегиональное управление Федеральной службы по регулированию алкогольного рынка по Приволжскому федеральному округу,37400,76,38609,71,35550,73,178981,1,127461,2,66645,13,61151,17,71393,9,72924,9,68,94,13,1.81
890,Межрегиональное управление Федеральной службы по регулированию алкогольного рынка по Уральскому федеральному округу,40211,58,41722,56,167813,2,81396,2,77552,3,60868,15,76593,14,65624,17,67775,16,68,68,6,2.08
891,Межрегиональное управление Федеральной службы по регулированию алкогольного рынка по Сибирскому федеральному округу,-1,-1,-1,-1,136991,4,185090,4,115727,4,41513,82,74495,26,77994,14,93237,14,13,124,5,3.52
892,Межрегиональное управление Федеральной службы по регулированию алкогольного рынка по Дальневосточному федеральному округу,57131,72,53919,98,106438,2,211465,1,223683,2,56304,10,99722,88,57112,8,80242,11,68,40,-19,3.82
893,Межрегиональное управление Федеральной службы по регулированию алкогольного рынка по Северо-Кавказскому федеральному округу,-1,-1,39254,68,244732,1,109030,3,68307,1,64571,10,59326,13,58730,15,72748,16,51,85,33,1.57
896,Приволжское территориальное управление Федерального агентства железнодорожного транспорта,35925,11,29569,15,35290,14,78628,3,73786,3,79604,3,64906,3,81362,2,-1,-1,23,-1,13,0.67
897,Сибирское территориальное управление Федерального агентства железнодорожного транспорта ,46078,12,45274,10,62288,7,86406,3,94306,3,103960,3,108455,2,96193,3,-1,-1,23,35,18,2.25
900,Дальневосточное территориальное управление Федерального агентства железнодорожного транспорта,53279,18,54469,20,52587,19,81100,1,111424,2,120833,2,168543,2,128605,2,-1,-1,23,-1,3,1.57
902,Территориальное управление Росимущества Московская область,123628,1,21882,61,27331,55,27446,68,26494,67,29745,75,27084,56,-1,-1,-1,-1,37,23,18,3.31
904,Амурское территориальное управление Федерального агентства по рыболовству,38151,130,35498,113,42279,161,44728,118,42178,121,43939,126,44940,120,61407,16,71434,17,68,87,5,0.9
905,Азово-Черноморское территориальное управление Федерального агентства по рыболовству,17431,199,16591,267,25945,248,37565,64,26994,208,-1,-1,28383,208,-1,-1,-1,-1,52,62,72,1.39
906,Ангаро-Байкальское территориальное управление Федерального агентства по рыболовству,29258,118,30346,102,34571,97,40756,113,34276,126,34680,126,40180,108,72034,13,62363,19,68,113,22,0.72
907,Североморское территориальное управление Федерального агентства по рыболовству,-1,-1,-1,-1,56572,169,60597,80,74351,290,58410,72,56220,66,78689,19,85115,17,35,50,-52,1.5
908,Верхневолжское территориальное управление Федерального агентства по рыболовству (присоединено к Московско-Окскому управлению),-1,-1,-1,-1,20700,94,23440,94,25273,92,-1,-1,-1,-1,-1,-1,-1,-1,18,22,20,1.28
909,Верхнеобское территориальное управление Федерального агентства по рыболовству,21322,84,20385,60,29551,80,34826,99,39779,22,47557,22,47514,32,55995,44,51140,29,68,139,36,1.44
910,Волго-Каспийское территориальное управление Федерального агентства по рыболовству,17608,184,19275,114,22649,121,52382,16,38291,20,49009,21,39906,21,41077,21,47738,16,68,171,10,1.55
911,Двинско-Печорское территориальное управление Федерального агентства по рыболовству (присоединено к Северо-Западному управлению),33634,134,35530,110,42862,177,51344,109,52186,102,-1,-1,-1,-1,-1,-1,-1,-1,46,55,36,0.92
912,Енисейское территориальное управление Федерального агентства по рыболовству,-1,-1,-1,-1,37550,113,42978,95,42924,107,45668,85,42699,89,58728,117,58316,111,35,55,51,1.51
913,Западно-Балтийское территориальное управление Федерального агентства по рыболовству,18051,49,19324,38,32812,74,38500,83,-1,-1,25312,33,34014,35,39221,54,45947,79,68,154,207,1.57
914,Северо-Кавказское территориальное управление Федерального агентства по рыболовству,16947,174,18265,152,23533,169,25051,117,24022,168,24891,114,-1,-1,-1,-1,43341,24,68,155,28,1.14
915,Восточно-Сибирское территориальное управление Федерального агентства по рыболовству,-1,-1,-1,-1,51966,41,57257,45,55794,41,60703,35,58991,40,63152,49,69112,59,35,32,74,1.03
916,Московско-Окское территориальное управление Федерального агентства по рыболовству,23951,127,21071,111,27185,136,32534,153,30048,152,-1,-1,-1,-1,-1,-1,-1,-1,46,25,39,1.78
917,Нижнеобское территориальное управление Федерального агентства по рыболовству,30642,103,31654,111,57071,19,56788,24,56237,28,55687,29,59614,29,67599,27,72687,26,68,137,49,1.0
