Id	Name	2011	|2011|	2012	|2012|	2013	|2013|	2014	|2014|	2015	|2015|	2016	|2016|	2017	|2017|	2018	|2018|	2019	|2019|	2020	|2020|	Q1	PI	D1	V2	|V2|
1503	Раменский - городской округ	-1	0	-1	0	706574.5	210	781891.0	158	793505	159	881022	193	997471.0	192	1098042.5	260	1183666	285	1335472	27	3,09	40	89	1,25	982
1504	Рузский - городской округ	533852	37	828382	37	764539.0	104	793174	105	815967.5	112	843625	107	764208	205	738542.0	184	813273.5	188	935493	169	2,16	73	75	1,75	795
1505	Серебряные Пруды - городской округ	-1	0	-1	0	-1	0	656500	97	766390.0	96	821700.0	92	865200	97	862885.0	98	1007490	101	945040.0	102	2,18	31	43	1,4	468
1506	Сергиево-Посадский - городской округ	516389	49	696157.0	96	665869.0	24	788306.0	68	943765	49	931295	45	840931	137	998848.0	66	665389.0	1014	877242.0	116	2,03	73	69	1,2	261
1507	Серпуховский район	-1	0	-1	0	-1	0	728714	29	935103	49	1023878	49	1154402	59	-1	0	-1	0	-1	0	3,02	16	58	2,0	109
1508	Солнечногорск - городской округ	-1	0	823625.0	202	944225	129	868407	253	923483	193	990539	179	1059175	185	1151837	101	1255928.0	242	1124384.5	228	2,6	55	36	0,7	916
1509	Ступино - городской округ	-1	0	-1	0	668531	43	-1	0	970834	51	1055683.0	52	1611762.5	62	1020993	157	1024590	159	937315.0	196	2,17	40	40	0,83	340
1511	Талдомский - городской округ	-1	0	-1	0	763188.5	32	699906	43	679153.0	64	642500	119	692205	117	749706	255	786924.0	212	923754	71	2,13	40	21	0,9	443
1512	Чехов - городской округ	391687.5	198	574143.0	212	628424	203	698440	283	724866	253	818946.5	268	867013	285	864134.0	288	955957.0	282	955419	249	2,21	73	143	1,6	1538
1513	Шатура - городской округ	-1	0	569104.5	100	615613	107	720655.5	94	708373.0	94	832902.0	108	866208	111	938713	131	880519	113	800965.0	58	1,85	55	40	1,5	615
1514	Шаховская - городской округ	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	966457.5	36	1240523	17	-1	0	2,93	6	28	1,42	22
1515	Щёлково - городской округ	-1	0	-1	0	789597.5	10	919204.0	10	1100094.5	106	1219270	93	1484468	109	1568896	91	1533719	71	1598097.0	76	3,69	40	102	3,58	300
1516	Балашиха - городской округ	-1	0	-1	0	699986.0	90	848453	109	970563.0	328	997814	345	1077433	245	1247374	263	1300213	223	1491996	209	3,45	40	113	1,5	1137
1517	Бронницы - городской округ	441856	41	653180.0	74	695356	81	753006	77	722200	47	847579.5	58	814048.5	74	863808	73	905982.0	72	867379.0	84	2,0	73	96	1,2	437
1518	Дзержинский - городской округ	679356.5	20	-1	0	-1	0	-1	0	1476125.0	12	-1	0	-1	0	-1	0	1254896.5	34	1449675	35	3,35	73	113	7,5	33
1519	Долгопрудный - городской округ	-1	0	-1	0	-1	0	863183.0	14	1137800	19	-1	0	1154559.5	120	1208485	117	1198047.5	122	1329496	69	3,07	31	54	1,33	247
1520	Домодедово - городской округ	-1	0	-1	0	-1	0	-1	0	1175472	113	1064781.0	212	1142038	229	1244253.0	216	1483063.5	218	1637636.5	208	3,78	19	39	2,0	828
1521	Дубна - городской округ	654502	77	-1	0	-1	0	726406	37	765223	111	844989	107	908615	117	1036899.0	114	1043225	113	986186	147	2,28	73	50	2,0	501
1522	Железнодорожный - городской округ	-1	0	-1	0	901551.5	146	969190.0	128	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	2,95	6	7	1,67	110
1523	Жуковский - городской округ	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	1070635.5	118	1128733	111	1179476	71	1224031	77	2,83	13	14	2,25	198
1524	Звенигород - городской округ	-1	0	-1	0	-1	0	758639	79	978892.0	92	948680.0	42	1023083.5	66	1226859.0	64	800379.5	28	1797126.5	16	4,15	31	136	2,0	158
1525	Ивантеевка - городской округ	1035693.5	8	580997.0	52	785367	55	-1	0	1155090.0	16	1286339.0	18	1198597	17	1065270.0	86	1133432	85	-1	0	2,67	70	9	1,83	159
1526	Климовск - городской округ	-1	0	-1	0	-1	0	750697.5	24	841424.0	22	-1	0	-1	0	-1	0	-1	0	-1	0	2,32	10	12	1,05	20
1527	Коломенский - городской округ	-1	0	545632	99	469784.0	12	722326	65	701753.5	150	762503.0	116	788570	299	984119	225	1042986.0	204	1003290	261	2,32	55	83	1,75	731
1528	Королёв - городской округ	-1	0	690591	31	-1	0	-1	0	-1	0	-1	0	919297.0	12	1381126.0	16	-1	0	-1	0	3,46	43	99	1,0	8
1529	Котельники - городской округ	1054664	7	800379.5	28	991874	29	1287950	29	1118157	43	1118929	53	1100444	65	1344415	71	1434034.0	60	1710264.5	22	3,95	73	62	2,5	239
1530	Красноармейск - городской округ	-1	0	581130.0	32	628493.5	32	657899	37	711041.0	46	791029.0	56	846018.5	62	909876	57	995387	53	-1	0	2,35	52	71	1,5	243
1531	Лобня - городской округ	-1	0	-1	0	-1	0	700265	131	828881.5	122	860437.0	118	981752.5	106	951266.5	152	1005243	141	1041810.5	132	2,41	31	48	1,0	580
1532	Лосино-Петровский - городской округ	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	728530	49	875335	73	962889	61	1059276	59	2,45	13	45	2,25	120
1534	Орехово-Зуево - городской округ	-1	0	-1	0	-1	0	728990.5	126	803655	155	856229	171	998753	177	1047095.5	176	1185554.5	252	1213569.5	182	2,8	31	66	1,27	754
1535	Подольск - городской округ	762286	11	766370.5	126	809338.0	138	850696.0	210	941479.5	172	1020655	169	1101818	241	1098648	157	1162078	157	1202459	137	2,78	73	57	0,67	937
1536	Протвино - городской округ	-1	0	655088	37	850685.0	38	867341	37	765954.0	38	826031	39	893777	55	1099738	11	1034794	31	1053028.0	28	2,43	55	60	1,5	203
1537	Пущино - городской округ	451139.0	36	656653.5	44	718324.0	40	772318	43	813201.0	50	859182.0	54	825483	51	932077.0	50	920277	51	928211	53	2,14	73	105	1,5	347
1538	Реутов - городской округ	529110.5	88	763005.0	126	905585	119	903500	121	1089573	121	1078137.0	136	1032866	139	1189692.0	130	1390879	135	1445339	143	3,34	73	173	1,9	920
1539	Рошаль - городской округ	-1	0	-1	0	564808	23	675984	41	606566	43	645761	35	-1	0	712730.0	22	931180.5	24	-1	0	2,2	37	64	1,67	75
